Player,Team,School/Previous Team,Year,Round,Pick
Bismack Biyombo,Sacramento Kings,Baloncesto Fuenlabrada (Spain),2011,1,7
Brandon Knight,Detroit Pistons,Kentucky,2011,1,8
Kemba Walker,Charlotte Bobcats,Connecticut,2011,1,9
Jimmer Fredette,Milwaukee Bucks,Brigham Young,2011,1,10
Klay Thompson,Golden State Warriors,Washington State,2011,1,11
Alec Burks,Utah Jazz,Colorado,2011,1,12
Markieff Morris,Phoenix Suns,Kansas,2011,1,13
Marcus Morris Sr.,Houston Rockets,Kansas,2011,1,14
John Wall,Washington Wizards,Kentucky,2010,1,1
Evan Turner,Philadelphia 76ers,Ohio State,2010,1,2
Derrick Favors,New Jersey Nets,Georgia Tech,2010,1,3
Wesley Johnson,Minnesota Timberwolves,Syracuse,2010,1,4
DeMarcus Cousins,Sacramento Kings,Kentucky,2010,1,5
Ekpe Udoh,Golden State Warriors,Baylor,2010,1,6
Greg Monroe,Detroit Pistons,Georgetown,2010,1,7
Al-Farouq Aminu,Los Angeles Clippers,Wake Forest,2010,1,8
Gordon Hayward,Utah Jazz,Butler,2010,1,9
Paul George,Indiana Pacers,Fresno State,2010,1,10
Cole Aldrich,New Orleans Hornets,Kansas,2010,1,11
Xavier Henry,Memphis Grizzlies,Kansas,2010,1,12
Ed Davis,Toronto Raptors,North Carolina,2010,1,13
Patrick Patterson,Houston Rockets,Kentucky,2010,1,14
Blake Griffin,Los Angeles Clippers,Oklahoma,2009,1,1
Hasheem Thabeet,Memphis Grizzlies,Connecticut,2009,1,2
James Harden,Oklahoma City Thunder,Arizona State,2009,1,3
Tyreke Evans,Sacramento Kings,Memphis,2009,1,4
Ricky Rubio,Minnesota Timberwolves,Joventut Badalona (Spain),2009,1,5
Jonny Flynn,Minnesota Timberwolves,Syracuse,2009,1,6
Stephen Curry,Golden State Warriors,Davidson,2009,1,7
Jordan Hill,New York Knicks,Arizona,2009,1,8
DeMar DeRozan,Toronto Raptors,Southern California,2009,1,9
Brandon Jennings,Milwaukee Bucks,Pallacanestro Virtus Roma (Italy),2009,1,10
Terrence Williams,New Jersey Nets,Louisville,2009,1,11
Gerald Henderson,Charlotte Bobcats,Duke,2009,1,12
Tyler Hansbrough,Indiana Pacers,North Carolina,2009,1,13
Earl Clark,Phoenix Suns,Louisville,2009,1,14
Derrick Rose,Chicago Bulls,Memphis,2008,1,1
Michael Beasley,Miami Heat,Kansas State,2008,1,2
O.J. Mayo,Minnesota Timberwolves,Southern California,2008,1,3
Russell Westbrook,Oklahoma City Thunder,California-Los Angeles,2008,1,4
Kevin Love,Memphis Grizzlies,California-Los Angeles,2008,1,5
Danilo Gallinari,New York Knicks,Olimpia Milano (Italy),2008,1,6
Eric Gordon,Los Angeles Clippers,Indiana,2008,1,7
Joe Alexander,Milwaukee Bucks,West Virginia,2008,1,8
D.J. Augustin,Charlotte Bobcats,Texas,2008,1,9
Brook Lopez,New Jersey Nets,Stanford,2008,1,10
Jerryd Bayless,Indiana Pacers,Arizona,2008,1,11
Jason Thompson,Sacramento Kings,Rider,2008,1,12
Brandon Rush,Portland Trail Blazers,Kansas,2008,1,13
Anthony Randolph,Golden State Warriors,Louisiana State,2008,1,14
Greg Oden,Portland Trail Blazers,Ohio State,2007,1,1
Kevin Durant,Seattle SuperSonics,Texas,2007,1,2
Al Horford,Atlanta Hawks,Florida,2007,1,3
Mike Conley,Memphis Grizzlies,Ohio State,2007,1,4
Jeff Green,Boston Celtics,Georgetown,2007,1,5
Yi Jianlian,Milwaukee Bucks,Guangdong Southern Tigers (China),2007,1,6
Corey Brewer,Minnesota Timberwolves,Florida,2007,1,7
Brandan Wright,Charlotte Bobcats,North Carolina,2007,1,8
Joakim Noah,Chicago Bulls,Florida,2007,1,9
Spencer Hawes,Sacramento Kings,Washington,2007,1,10
Acie Law,Atlanta Hawks,Texas A&M,2007,1,11
Thaddeus Young,Philadelphia 76ers,Georgia Tech,2007,1,12
Julian Wright,New Orleans Hornets,Kansas,2007,1,13
Al Thornton,Los Angeles Clippers,Florida State,2007,1,14
Andrea Bargnani,Toronto Raptors,Universo Treviso Basket (Italy),2006,1,1
LaMarcus Aldridge,Chicago Bulls,Texas,2006,1,2
Adam Morrison,Charlotte Bobcats,Gonzaga,2006,1,3
Tyrus Thomas,Portland Trail Blazers,Louisiana State,2006,1,4
Shelden Williams,Atlanta Hawks,Duke,2006,1,5
Brandon Roy,Minnesota Timberwolves,Washington,2006,1,6
Randy Foye,Boston Celtics,Villanova,2006,1,7
Rudy Gay,Houston Rockets,Connecticut,2006,1,8
Patrick O'Bryant,Golden State Warriors,Bradley,2006,1,9
Mouhamed Sene,Seattle SuperSonics,VOO Wolves Verviers-Pepinster (Belgium),2006,1,10
JJ Redick,Orlando Magic,Duke,2006,1,11
Hilton Armstrong,New Orleans/Oklahoma City Hornets,Connecticut,2006,1,12
Thabo Sefolosha,Philadelphia 76ers,Pallacanestro Biella (Italy),2006,1,13
Ronnie Brewer,Utah Jazz,Arkansas,2006,1,14
Andrew Bogut,Milwaukee Bucks,Utah,2005,1,1
Marvin Williams,Atlanta Hawks,North Carolina,2005,1,2
Deron Williams,Utah Jazz,Illinois,2005,1,3
Chris Paul,New Orleans/Oklahoma City Hornets,Wake Forest,2005,1,4
Raymond Felton,Charlotte Bobcats,North Carolina,2005,1,5
Martell Webster,Portland Trail Blazers,Seattle Preparatory School,2005,1,6
Charlie Villanueva,Toronto Raptors,Connecticut,2005,1,7
Channing Frye,New York Knicks,Arizona,2005,1,8
Ike Diogu,Golden State Warriors,Arizona State,2005,1,9
Andrew Bynum,Los Angeles Lakers,Saint Joseph,2005,1,10
Fran Vazquez,Orlando Magic,Baloncesto Malaga (Spain),2005,1,11
Yaroslav Korolev,Los Angeles Clippers,PBC CSKA Moscow (Russia),2005,1,12
Sean May,Charlotte Bobcats,North Carolina,2005,1,13
Rashad McCants,Minnesota Timberwolves,North Carolina,2005,1,14
Dwight Howard,Orlando Magic,Southwest Atlanta Christian Academy,2004,1,1
Emeka Okafor,Charlotte Bobcats,Connecticut,2004,1,2
Ben Gordon,Chicago Bulls,Connecticut,2004,1,3
Shaun Livingston,Los Angeles Clippers,Peoria,2004,1,4
Devin Harris,Washington Wizards,Wisconsin,2004,1,5
Josh Childress,Atlanta Hawks,Stanford,2004,1,6
Luol Deng,Phoenix Suns,Duke,2004,1,7
Rafael Araujo,Toronto Raptors,Brigham Young,2004,1,8
Andre Iguodala,Philadelphia 76ers,Arizona,2004,1,9
Luke Jackson,Cleveland Cavaliers,Oregon,2004,1,10
Andris Biedrins,Golden State Warriors,BK Skonto (Latvia),2004,1,11
Robert Swift,Seattle SuperSonics,Bakersfield,2004,1,12
Sebastian Telfair,Portland Trail Blazers,Abraham Lincoln,2004,1,13
Kris Humphries,Utah Jazz,Minnesota,2004,1,14
LeBron James,Cleveland Cavaliers,Saint Vincent-Saint Mary,2003,1,1
Darko Milicic,Detroit Pistons,KK Vrsac (Serbia),2003,1,2
Carmelo Anthony,Denver Nuggets,Syracuse,2003,1,3
Chris Bosh,Toronto Raptors,Georgia Tech,2003,1,4
Dwyane Wade,Miami Heat,Marquette,2003,1,5
Chris Kaman,Los Angeles Clippers,Central Michigan,2003,1,6
Kirk Hinrich,Chicago Bulls,Kansas,2003,1,7
T.J. Ford,Milwaukee Bucks,Texas,2003,1,8
Michael Sweetney,New York Knicks,Georgetown,2003,1,9
Jarvis Hayes,Washington Wizards,Georgia,2003,1,10
Mickael Pietrus,Golden State Warriors,Elan Bearnais Pau-Orthez (France),2003,1,11
Nick Collison,Seattle SuperSonics,Kansas,2003,1,12
Marcus Banks,Memphis Grizzlies,Nevada-Las Vegas,2003,1,13
Yao Ming,Houston Rockets,Shanghai Sharks (China),2002,1,1
Jay Williams,Chicago Bulls,Duke,2002,1,2
Mike Dunleavy,Golden State Warriors,Duke,2002,1,3
Drew Gooden,Memphis Grizzlies,Kansas,2002,1,4
Nikoloz Tskitishvili,Denver Nuggets,Universo Treviso Basket (Italy),2002,1,5
Dajuan Wagner,Cleveland Cavaliers,Memphis,2002,1,6
Nene,New York Knicks,CR Vasco da Gama (Brazil),2002,1,7
Chris Wilcox,Los Angeles Clippers,Maryland,2002,1,8
Amar'e Stoudemire,Phoenix Suns,Cypress Creek,2002,1,9
Caron Butler,Miami Heat,Connecticut,2002,1,10
Jared Jeffries,Washington Wizards,Indiana,2002,1,11
Melvin Ely,Los Angeles Clippers,Fresno State,2002,1,12
Marcus Haislip,Milwaukee Bucks,Tennessee,2002,1,13
Kwame Brown,Washington Wizards,Glynn Academy,2001,1,1
Tyson Chandler,Los Angeles Clippers,Dominguez,2001,1,2
Pau Gasol,Atlanta Hawks,FC Barcelona Basquet (Spain),2001,1,3
Eddy Curry,Chicago Bulls,Thornwood,2001,1,4
Jason Richardson,Golden State Warriors,Michigan State,2001,1,5
Shane Battier,Memphis Grizzlies,Duke,2001,1,6
Eddie Griffin,New Jersey Nets,Seton Hall,2001,1,7
DeSagana Diop,Cleveland Cavaliers,Oak Hill Academy,2001,1,8
Rodney White,Detroit Pistons,North Carolina-Charlotte,2001,1,9
Joe Johnson,Boston Celtics,Arkansas,2001,1,10
Kedrick Brown,Boston Celtics,Northwest Florida State,2001,1,11
Vladimir Radmanovic,Seattle SuperSonics,KK FMP (Serbia),2001,1,12
Richard Jefferson,Houston Rockets,Arizona,2001,1,13
Kenyon Martin,New Jersey Nets,Cincinnati,2000,1,1
Stromile Swift,Vancouver Grizzlies,Louisiana State,2000,1,2
Darius Miles,Los Angeles Clippers,East St. Louis,2000,1,3
Marcus Fizer,Chicago Bulls,Iowa State,2000,1,4
Mike Miller,Orlando Magic,Florida,2000,1,5
DerMarr Johnson,Atlanta Hawks,Cincinnati,2000,1,6
Chris Mihm,Chicago Bulls,Texas,2000,1,7
Jamal Crawford,Cleveland Cavaliers,Michigan,2000,1,8
Joel Przybilla,Houston Rockets,Minnesota,2000,1,9
Keyon Dooling,Orlando Magic,Missouri,2000,1,10
Jerome Moiso,Boston Celtics,California-Los Angeles,2000,1,11
Etan Thomas,Dallas Mavericks,Syracuse,2000,1,12
Courtney Alexander,Orlando Magic,Fresno State,2000,1,13
Elton Brand,Chicago Bulls,Duke,1999,1,1
Steve Francis,Vancouver Grizzlies,Maryland,1999,1,2
Baron Davis,Charlotte Hornets,California-Los Angeles,1999,1,3
Lamar Odom,Los Angeles Clippers,Rhode Island,1999,1,4
Jonathan Bender,Toronto Raptors,Picayune Memorial,1999,1,5
Wally Szczerbiak,Minnesota Timberwolves,Miami (OH),1999,1,6
Richard Hamilton,Washington Wizards,Connecticut,1999,1,7
Andre Miller,Cleveland Cavaliers,Utah,1999,1,8
Shawn Marion,Phoenix Suns,Nevada-Las Vegas,1999,1,9
Jason Terry,Atlanta Hawks,Arizona,1999,1,10
Trajan Langdon,Cleveland Cavaliers,Duke,1999,1,11
Aleksandar Radojevic,Toronto Raptors,Barton Community College,1999,1,12
Corey Maggette,Seattle SuperSonics,Duke,1999,1,13
Michael Olowokandi,Los Angeles Clippers,Pacific,1998,1,1
Mike Bibby,Vancouver Grizzlies,Arizona,1998,1,2
Raef LaFrentz,Denver Nuggets,Kansas,1998,1,3
Antawn Jamison,Toronto Raptors,North Carolina,1998,1,4
Vince Carter,Golden State Warriors,North Carolina,1998,1,5
Robert Traylor,Dallas Mavericks,Michigan,1998,1,6
Jason Williams,Sacramento Kings,Florida,1998,1,7
Larry Hughes,Philadelphia 76ers,Saint Louis,1998,1,8
Dirk Nowitzki,Milwaukee Bucks,DJK Wurzburg (Germany),1998,1,9
Paul Pierce,Boston Celtics,Kansas,1998,1,10
Bonzi Wells,Detroit Pistons,Ball State,1998,1,11
Michael Doleac,Orlando Magic,Utah,1998,1,12
Keon Clark,Orlando Magic,Nevada-Las Vegas,1998,1,13
Tim Duncan,San Antonio Spurs,Wake Forest,1997,1,1
Keith Van Horn,Philadelphia 76ers,Utah,1997,1,2
Chauncey Billups,Boston Celtics,Colorado,1997,1,3
Antonio Daniels,Vancouver Grizzlies,Bowling Green,1997,1,4
Tony Battie,Denver Nuggets,Texas Tech,1997,1,5
Ron Mercer,Boston Celtics,Kentucky,1997,1,6
Tim Thomas,New Jersey Nets,Villanova,1997,1,7
Adonal Foyle,Golden State Warriors,Colgate,1997,1,8
Tracy McGrady,Toronto Raptors,Mount Zion Christian Academy,1997,1,9
Danny Fortson,Milwaukee Bucks,Cincinnati,1997,1,10
Tariq Abdul-Wahad,Sacramento Kings,San Jose State,1997,1,11
Austin Croshere,Indiana Pacers,Providence,1997,1,12
Derek Anderson,Cleveland Cavaliers,Kentucky,1997,1,13
Allen Iverson,Philadelphia 76ers,Georgetown,1996,1,1
Marcus Camby,Toronto Raptors,Massachusetts,1996,1,2
Shareef Abdur-Rahim,Vancouver Grizzlies,California,1996,1,3
Stephon Marbury,Milwaukee Bucks,Georgia Tech,1996,1,4
Ray Allen,Minnesota Timberwolves,Connecticut,1996,1,5
Antoine Walker,Boston Celtics,Kentucky,1996,1,6
Lorenzen Wright,Los Angeles Clippers,Memphis,1996,1,7
Kerry Kittles,New Jersey Nets,Villanova,1996,1,8
Samaki Walker,Dallas Mavericks,Louisville,1996,1,9
Erick Dampier,Indiana Pacers,Mississippi State,1996,1,10
Todd Fuller,Golden State Warriors,North Carolina State,1996,1,11
Vitaly Potapenko,Cleveland Cavaliers,Wright State,1996,1,12
Kobe Bryant,Charlotte Hornets,Lower Merion,1996,1,13
Joe Smith,Golden State Warriors,Maryland,1995,1,1
Antonio McDyess,Los Angeles Clippers,Alabama,1995,1,2
Jerry Stackhouse,Philadelphia 76ers,North Carolina,1995,1,3
Rasheed Wallace,Washington Bullets,North Carolina,1995,1,4
Kevin Garnett,Minnesota Timberwolves,Farragut Career Academy,1995,1,5
Bryant Reeves,Vancouver Grizzlies,Oklahoma State,1995,1,6
Damon Stoudamire,Toronto Raptors,Arizona,1995,1,7
Shawn Respert,Portland Trail Blazers,Michigan State,1995,1,8
Ed O'Bannon,New Jersey Nets,California-Los Angeles,1995,1,9
Kurt Thomas,Miami Heat,Texas Christian,1995,1,10
Gary Trent,Milwaukee Bucks,Ohio,1995,1,11
Cherokee Parks,Dallas Mavericks,Duke,1995,1,12
Corliss Williamson,Sacramento Kings,Arkansas,1995,1,13
Glenn Robinson,Milwaukee Bucks,Purdue,1994,1,1
Jason Kidd,Dallas Mavericks,California,1994,1,2
Grant Hill,Detroit Pistons,Duke,1994,1,3
Donyell Marshall,Minnesota Timberwolves,Connecticut,1994,1,4
Juwan Howard,Washington Bullets,Michigan,1994,1,5
Sharone Wright,Philadelphia 76ers,Clemson,1994,1,6
Lamond Murray,Los Angeles Clippers,California,1994,1,7
Brian Grant,Sacramento Kings,Xavier,1994,1,8
Eric Montross,Boston Celtics,North Carolina,1994,1,9
Eddie Jones,Los Angeles Lakers,Temple,1994,1,10
Carlos Rogers,Seattle SuperSonics,Tennessee State,1994,1,11
Chris Webber,Orlando Magic,Michigan,1993,1,1
Shawn Bradley,Philadelphia 76ers,Brigham Young,1993,1,2
Anfernee Hardaway,Golden State Warriors,Memphis,1993,1,3
Jamal Mashburn,Dallas Mavericks,Kentucky,1993,1,4
Isaiah Rider,Minnesota Timberwolves,Nevada-Las Vegas,1993,1,5
Calbert Cheaney,Washington Bullets,Indiana,1993,1,6
Bobby Hurley,Sacramento Kings,Duke,1993,1,7
Vin Baker,Milwaukee Bucks,Hartford,1993,1,8
Rodney Rogers,Denver Nuggets,Wake Forest,1993,1,9
Lindsey Hunter,Detroit Pistons,Jackson State,1993,1,10
Allan Houston,Detroit Pistons,Tennessee,1993,1,11
Shaquille O'Neal,Orlando Magic,Louisiana State,1992,1,1
Alonzo Mourning,Charlotte Hornets,Georgetown,1992,1,2
Christian Laettner,Minnesota Timberwolves,Duke,1992,1,3
Jim Jackson,Dallas Mavericks,Ohio State,1992,1,4
LaPhonso Ellis,Denver Nuggets,Notre Dame,1992,1,5
Tom Gugliotta,Washington Bullets,North Carolina State,1992,1,6
Walt Williams,Sacramento Kings,Maryland,1992,1,7
Todd Day,Milwaukee Bucks,Arkansas,1992,1,8
Clar. Weatherspoon,Philadelphia 76ers,Southern Mississippi,1992,1,9
Adam Keefe,Atlanta Hawks,Stanford,1992,1,10
Robert Horry,Houston Rockets,Alabama,1992,1,11
Larry Johnson,Charlotte Hornets,Nevada-Las Vegas,1991,1,1
Kenny Anderson,New Jersey Nets,Georgia Tech,1991,1,2
Billy Owens,Sacramento Kings,Syracuse,1991,1,3
Dikembe Mutombo,Denver Nuggets,Georgetown,1991,1,4
Steven Smith,Miami Heat,Michigan State,1991,1,5
Doug Smith,Dallas Mavericks,Missouri,1991,1,6
Luc Longley,Minnesota Timberwolves,New Mexico,1991,1,7
Mark Macon,Denver Nuggets,Temple,1991,1,8
Stacey Augmon,Atlanta Hawks,Nevada-Las Vegas,1991,1,9
Bison Dele,Orlando Magic,Arizona,1991,1,10
Terrell Brandon,Cleveland Cavaliers,Oregon,1991,1,11
Derrick Coleman,New Jersey Nets,Syracuse,1990,1,1
Gary Payton,Seattle SuperSonics,Oregon State,1990,1,2
Mahmoud Abdul-Rauf,Denver Nuggets,Louisiana State,1990,1,3
Dennis Scott,Orlando Magic,Georgia Tech,1990,1,4
Kendall Gill,Charlotte Hornets,Illinois,1990,1,5
Felton Spencer,Minnesota Timberwolves,Louisville,1990,1,6
Lionel Simmons,Sacramento Kings,La Salle,1990,1,7
Bo Kimble,Los Angeles Clippers,Loyola-Marymount,1990,1,8
Willie Burton,Miami Heat,Minnesota,1990,1,9
Rumeal Robinson,Atlanta Hawks,Michigan,1990,1,10
Tyrone Hill,Golden State Warriors,Xavier,1990,1,11
Pervis Ellison,Sacramento Kings,Louisville,1989,1,1
Danny Ferry,Los Angeles Clippers,Duke,1989,1,2
Sean Elliott,San Antonio Spurs,Arizona,1989,1,3
Glen Rice,Miami Heat,Michigan,1989,1,4
J.R. Reid,Charlotte Hornets,North Carolina,1989,1,5
Stacey King,Chicago Bulls,Oklahoma,1989,1,6
George McCloud,Indiana Pacers,Florida State,1989,1,7
Randy White,Dallas Mavericks,Louisiana Tech,1989,1,8
Tom Hammonds,Washington Bullets,Georgia Tech,1989,1,9
Pooh Richardson,Minnesota Timberwolves,California-Los Angeles,1989,1,10
Nick Anderson,Orlando Magic,Illinois,1989,1,11
Danny Manning,Los Angeles Clippers,Kansas,1988,1,1
